priorite,prime_pure,var_99,tvar_99,payback,xi,sigma,n_obs
100000,26046606.01564505,34223804.948727556,35488855.47153017,0.034553446213276676,-0.002192127692296527,228372.06402472942,583
150000,20167595.23786774,26846106.44844747,27855223.226046287,0.042146819686463916,0.09927823007997691,159105.6574707791,583
200000,13572710.550472498,18822214.335085895,19723202.02830486,0.05894180068344198,0.43974377427672295,72856.3982987483,583
300000,6677074.548260515,10811318.39051377,11349775.414009748,0.10483633138143729,0.47633244108199124,117569.75021528522,192
500000,2765023.812014288,5373138.306739025,5826298.240610736,0.18083026910200667,0.1853709173925362,300856.98795967066,54
